indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
77.5,51.16,75.54,61.63,1
79.02,52.63,80.26,36.84,1
79.98,65.55,79.62,61.63,1
82.24,11.11,83.61,8.86,0
80.51,27.27,81.33,33.33,0
81.31,42.59,82.79,43.06,0
89.44,5.88,89.33,9,0
83.47,13.04,83.78,21.96,1
80.62,18.18,81.68,42.42,1
84.53,46.85,86.55,34.89,1
77.78,63.21,78.55,70.28,1
80.84,24,80.78,29.19,1
82.65,6.67,84.42,6.94,1
80.18,57.14,81.12,55.67,1
80.77,76.25,81.55,74.58,1
83.35,8.77,84.61,8.48,1
80.04,35.71,82.39,27.86,1
82.9,62.87,84.33,63.47,1
81.01,38.18,81.16,33.13,1
86.51,20.69,86.46,16.38,1
80.93,65,81.94,49.16,1
79.91,50.86,82.44,45.82,1
83.29,68.04,85.42,64.69,1
83.56,32.61,84.87,20.8,1
79.54,60.13,81.81,62.61,1
77.84,57.45,78.52,53.55,1
79.19,56.32,81.34,39.96,0
79.64,21.51,81.04,36.82,1
79.81,24.14,81.05,22.41,0
84.14,43.88,86.45,31.14,1
83.8,16.82,83.44,24.38,1
85.28,47.06,86.46,41.18,1
80.39,40.72,81.02,25.26,1
77.3,45.76,78.03,49.15,1
82.11,37.5,82.83,49.55,0
85.08,30.41,85.99,36.49,1
85.19,10.26,87.97,11.17,1
82.23,40.17,84.72,34.81,1
88.85,6.6,92.61,3.3,1
85.96,3.85,84.89,7.69,1
79.57,80.09,81.39,67.3,0
84.41,61.49,86.1,34.9,1
81.13,75.68,82.06,70.27,1
88.06,59.2,92.27,33.62,1
88.24,8.33,89.53,10.94,1
79.53,38.57,80.15,71.43,1
82.7,60.82,82.83,78.95,0
82.6,27.36,82.54,37.5,1
90.07,15,91.39,17.5,1
85.38,3.85,85.79,3.85,1
83.76,9.68,82.57,28.02,1
80.41,22.5,80.17,55,1
85.4,37.39,86.33,41.92,1
79.9,35.66,80.09,34.97,1
83.47,43.86,83.28,68.71,1
79.93,82.35,80.57,64.07,1
82.96,20.16,83,36.43,1
77.67,63.46,78.67,64.14,1
87.8,4.9,89,5.39,1
87.26,8.82,88.28,10.29,1
87.65,6.86,89.83,2.94,1
81.35,33.33,82.5,37.75,1
85.51,5.17,87.67,12.07,1
77.32,53.33,79.29,50,1
80.89,32.11,82.28,29.95,1
83.83,7.87,86.45,16.85,1
84.63,5.62,87.17,8.99,1
84.71,38.46,85.92,53.85,1
80.81,35.48,85.36,32.26,1
79.04,38.4,80.79,26.8,1
85.42,23.05,86.18,30.27,1
85.2,78.85,87.2,61.22,1
80.98,31.37,83.1,31.47,1
91.59,4.67,91.08,29.62,1
81.76,24,83.28,19.33,1
