,0,1,2,3,4,5,6,7,8,9,10
47,0.0,50.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
436,33.33,60.0,50.0,33.33,55.56,17.38,5.15,63.89,100.0,1.41,1.0
99,33.33,40.0,75.0,46.67,55.56,56.88,7.22,66.67,100.0,3.67,0.0
191,66.67,40.0,25.0,33.33,33.33,22.35,3.09,91.67,100.0,10.96,0.0
340,66.67,20.0,0.0,33.33,11.11,22.35,1.03,33.33,100.0,10.96,1.0
59,0.0,20.0,50.0,33.33,55.56,22.35,7.22,59.42,100.0,10.96,0.0
11,0.0,30.0,50.0,33.33,55.56,40.63,5.15,55.56,100.0,4.52,0.0
26,0.0,80.0,50.0,33.33,55.56,32.96,5.15,55.56,100.0,24.01,0.0
326,0.0,40.0,50.0,33.33,55.56,6.32,5.15,75.0,100.0,0.56,1.0
249,66.67,40.0,100.0,46.67,33.33,22.35,3.09,97.22,100.0,10.96,0.0
437,33.33,60.0,50.0,33.33,55.56,48.76,5.15,55.56,100.0,5.93,1.0
526,66.67,30.0,50.0,33.33,33.33,22.35,3.09,22.22,100.0,10.96,1.0
72,33.33,40.0,50.0,33.33,55.56,31.38,5.15,58.33,100.0,12.71,0.0
86,33.33,70.0,50.0,33.33,55.56,53.27,5.15,59.42,100.0,4.52,0.0
188,66.67,50.0,75.0,33.33,11.11,22.35,1.03,55.56,100.0,10.96,0.0
177,66.67,20.0,75.0,33.33,55.56,47.18,7.22,55.56,100.0,15.25,0.0
569,66.67,60.0,50.0,33.33,55.56,22.35,5.15,58.33,100.0,10.96,1.0
190,66.67,80.0,0.0,33.33,11.11,22.35,5.15,55.56,100.0,10.96,0.0
499,66.67,50.0,50.0,20.0,55.56,39.28,5.15,41.67,100.0,5.08,1.0
106,33.33,50.0,50.0,33.33,55.56,58.69,5.15,50.0,100.0,35.03,0.0
380,33.33,30.0,100.0,60.0,77.78,25.28,9.28,72.22,100.0,6.78,1.0
245,66.67,30.0,25.0,33.33,77.78,43.57,7.22,50.0,100.0,20.34,0.0
576,33.33,30.0,50.0,33.33,55.56,26.64,5.15,50.0,100.0,3.95,1.0
