,angkatan,gol_ukt,4-FIS.Basis,5-MAT.Basis,4-KIM.Basis,jumlah_siswa-5,5-FIS.Basis,4-MAT,2-GEO.Unit,ranking_mapel_un-4,1-GEO.Unit,4-IND,jumlah_siswa-2,5-IND,1-BAS,3-SNB,5-KIM,3-MAT.Basis,2-SOS,1-SOS,4-MAT.Basis,1-AGM.Unit,1-SNB,5-FIS,2-EKO.Unit,5-SNB.Unit,2-BAS.Unit,3-PJO.Unit,2-BAS.Basis,3-IND,5-KIM.Basis,2-KIM,1-GEO.Basis,4-AGM.Unit,1-EKO.Unit,3-BIO,1-PJO.Unit,2-AGM.Unit,2-MAT.Basis,5-AGM.Unit,4-PJO.Unit,4-SNB.Unit,4-IND.Basis,3-AGM.Unit,1-ING,1-SNB.Unit,2-ING,4-BIO,5-IND.Basis,jenis_kelas-1,3-BAS.Unit,4-FIS,3-PJO,2-SNB.Unit,2-PJO.Unit,3-SNB.Unit,5-PJO.Unit,1-BAS.Unit,2-PJO,1-FIS.Unit,1-IND.Unit,1-ING.Unit,2-IND.Basis,1-KIM.Basis,1-EKO,4-BIO.Basis,1-MAT.Basis,3-IND.Unit,1-KIM.Unit,2-FIS.Unit,2-ING.Unit,5-MAT,ranking_mapel_un_1_5,jumlah_siswa_1_5,3-BAS.Basis,jenis_kelas-2,jenis_kelas-3,jenis_kelas-4,jenis_kelas-5,1-BIO.Unit,2-IND.Unit,3-MAT.Unit,2-MAT.Unit,1-EKO.Basis,ranking_mapel_un-2,3-FIS.Unit,2-BIO.Unit,3-KIM.Unit,3-ING.Unit,3-BIO.Unit,5-MAT.Unit,4-MAT.Unit,2-KIM.Unit,3-AGM.Basis,4-KIM.Unit,4-KIM,2-SOS.Basis,2-BAS,ranking_mapel_un-1,indeks_mapel_un-5,lulus_tpb
0,0.0,20.0,50.0,86.66666666666667,55.55555555555556,0.0,5.154639175257731,36.111111111111086,100.0,0.2824858757062147,100.0,44.117647058823536,0.0,28.571428571428584,55.359708712881485,57.30016503153823,55.99749768141811,53.84615384615384,48.91203011147036,48.14002706083579,53.84615384615384,100.0,57.212877939529676,56.255531030234636,100.0,100.0,100.0,100.0,33.333333333333336,37.931034482758605,55.55555555555556,46.157990540560746,25.0,100.0,100.0,49.90555412345583,100.0,100.0,45.45454545454546,100.0,100.0,100.0,11.111111111111114,100.0,48.571428571428555,100.0,40.0,53.705039430659724,11.111111111111114,100.0,100.0,54.67259598450161,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,11.111111111111114,40.0,45.99105635016366,55.55555555555556,50.0,100.0,100.0,100.0,100.0,37.58389261744966,0.0,0.0,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.285714285714286,100.0,56.37065355907524,25.0,56.916592724046154,0.0,29.462351882973906,0.0
1,0.0,50.0,50.0,33.333333333333336,55.55555555555556,14.672686230248308,5.154639175257731,47.2222222222222,100.0,1.1299435028248588,100.0,61.764705882352956,11.948529411764707,67.85714285714286,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,100.0,100.0,100.0,33.333333333333336,44.82758620689657,55.55555555555556,46.157990540560746,25.0,100.0,100.0,49.90555412345583,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,71.42857142857144,100.0,71.42857142857144,53.705039430659724,55.55555555555556,100.0,100.0,54.67259598450161,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,45.99105635016366,55.55555555555556,50.0,100.0,100.0,100.0,100.0,53.69127516778522,3.115264797507788,11.627906976744185,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,2.4539877300613497,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.571428571428577,100.0,56.37065355907524,25.0,56.916592724046154,6.521739130434781,55.54847750739566,1.0
2,0.0,80.0,50.0,33.333333333333336,55.55555555555556,6.997742663656886,5.154639175257731,57.833333333333286,100.0,3.1073446327683616,100.0,42.35294117647061,5.698529411764706,31.25000000000003,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,100.0,100.0,100.0,33.333333333333336,41.379310344827616,55.55555555555556,46.157990540560746,25.0,100.0,100.0,49.90555412345583,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,60.0,100.0,60.0,53.705039430659724,55.55555555555556,100.0,100.0,54.67259598450161,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,45.99105635016366,55.55555555555556,50.0,100.0,100.0,100.0,100.0,69.79865771812081,3.7383177570093458,5.54561717352415,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,8.895705521472394,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.571428571428577,100.0,56.37065355907524,25.0,56.916592724046154,6.211180124223602,51.061281685700294,1.0
3,0.0,80.0,50.0,33.333333333333336,55.55555555555556,18.058690744920995,5.154639175257731,47.2222222222222,100.0,4.519774011299435,100.0,44.117647058823536,14.705882352941178,35.714285714285694,44.117647058823536,57.30016503153823,28.682170542635674,38.46153846153847,35.29411764705884,33.33333333333334,38.46153846153847,100.0,57.212877939529676,33.33333333333334,100.0,100.0,100.0,100.0,33.333333333333336,31.034482758620697,55.55555555555556,24.24242424242425,0.0,100.0,100.0,31.034482758620697,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,34.28571428571428,100.0,42.85714285714286,43.333333333333314,55.55555555555556,100.0,100.0,32.35294117647061,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,20.0,14.285714285714278,55.55555555555556,50.0,100.0,100.0,100.0,100.0,42.95302013422818,4.672897196261682,14.311270125223613,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,2.147239263803681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.285714285714286,100.0,39.393939393939405,25.0,15.151515151515156,2.795031055900621,28.029048277236484,1.0
4,0.0,50.0,50.0,33.333333333333336,55.55555555555556,14.446952595936795,5.154639175257731,77.77777777777777,100.0,12.994350282485875,100.0,58.823529411764724,11.764705882352942,50.00000000000003,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,100.0,100.0,100.0,33.333333333333336,34.48275862068965,55.55555555555556,46.157990540560746,25.0,100.0,100.0,49.90555412345583,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,88.57142857142856,100.0,57.14285714285714,53.705039430659724,55.55555555555556,100.0,100.0,54.67259598450161,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,45.99105635016366,55.55555555555556,50.0,100.0,100.0,100.0,100.0,88.59060402684563,11.838006230529595,11.449016100178891,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,6.748466257668712,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.571428571428577,100.0,56.37065355907524,25.0,56.916592724046154,2.484472049689441,70.07262071220191,1.0
5,0.0,30.0,50.0,33.333333333333336,55.55555555555556,14.446952595936795,5.154639175257731,77.77777777777777,100.0,8.757062146892656,100.0,58.823529411764724,11.764705882352942,67.85714285714286,55.359708712881485,57.30016503153823,55.99749768141811,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,56.255531030234636,100.0,100.0,100.0,100.0,33.333333333333336,89.65517241379314,55.55555555555556,46.157990540560746,25.0,100.0,100.0,49.90555412345583,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,71.42857142857144,100.0,71.42857142857144,53.705039430659724,55.55555555555556,100.0,100.0,54.67259598450161,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,45.99105635016366,55.55555555555556,50.0,100.0,100.0,100.0,100.0,88.59060402684563,9.968847352024921,11.449016100178891,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,4.9079754601226995,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.571428571428577,100.0,56.37065355907524,25.0,56.916592724046154,15.217391304347824,73.89476366083511,1.0
6,0.0,50.0,50.0,33.333333333333336,55.55555555555556,6.54627539503386,5.154639175257731,90.27777777777777,100.0,1.9774011299435028,100.0,85.29411764705884,5.330882352941177,85.7142857142857,55.359708712881485,57.30016503153823,89.14728682170545,38.46153846153847,48.91203011147036,48.14002706083579,38.46153846153847,100.0,57.212877939529676,92.42424242424244,100.0,100.0,100.0,100.0,33.333333333333336,68.9655172413793,55.55555555555556,81.81818181818184,50.0,100.0,100.0,75.86206896551721,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,57.14285714285714,100.0,78.57142857142856,88.33333333333331,55.55555555555556,100.0,100.0,80.88235294117646,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,53.428571428571445,55.55555555555556,50.0,100.0,100.0,100.0,100.0,91.27516778523491,0.6230529595015575,5.18783542039356,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,1.2269938650306749,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.571428571428577,100.0,83.33333333333334,25.0,56.916592724046154,4.658385093167701,91.44187446699476,0.0
7,0.0,70.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,58.333333333333314,100.0,18.361581920903955,100.0,64.70588235294119,36.76470588235294,60.714285714285694,44.117647058823536,57.30016503153823,68.9922480620155,38.46153846153847,44.117647058823536,30.30303030303031,38.46153846153847,100.0,57.212877939529676,60.60606060606062,100.0,100.0,100.0,100.0,33.333333333333336,41.379310344827616,55.55555555555556,36.363636363636374,25.0,100.0,100.0,48.27586206896552,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,42.85714285714286,100.0,54.28571428571428,56.666666666666686,55.55555555555556,100.0,100.0,55.882352941176464,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,42.85714285714286,55.55555555555556,50.0,100.0,100.0,100.0,100.0,64.42953020134229,34.26791277258567,39.53488372093023,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,33.742331288343564,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.285714285714286,100.0,69.69696969696972,25.0,75.75757575757578,40.06211180124223,62.428334814935454,1.0
8,0.0,50.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,66.66666666666666,100.0,16.384180790960453,100.0,58.823529411764724,36.76470588235294,64.2857142857143,29.411764705882348,57.30016503153823,68.9922480620155,38.46153846153847,44.117647058823536,30.30303030303031,38.46153846153847,100.0,57.212877939529676,57.575757575757564,100.0,100.0,100.0,100.0,33.333333333333336,51.72413793103448,55.55555555555556,33.33333333333334,25.0,100.0,100.0,48.27586206896552,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,42.85714285714286,100.0,48.571428571428555,56.666666666666686,55.55555555555556,100.0,100.0,55.882352941176464,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,37.14285714285714,55.55555555555556,50.0,100.0,100.0,100.0,100.0,61.74496644295303,28.66043613707165,39.53488372093023,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,38.650306748466264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.285714285714286,100.0,69.69696969696972,25.0,63.636363636363654,34.161490683229815,57.96916802878957,1.0
9,0.0,30.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,72.2222222222222,100.0,2.5423728813559325,100.0,70.58823529411768,36.76470588235294,67.85714285714286,58.823529411764724,57.30016503153823,78.29457364341084,38.46153846153847,64.70588235294119,60.606060606060595,38.46153846153847,100.0,57.212877939529676,81.81818181818181,100.0,100.0,100.0,100.0,33.333333333333336,58.62068965517244,55.55555555555556,54.54545454545453,25.0,100.0,100.0,65.51724137931035,100.0,100.0,45.45454545454546,100.0,100.0,100.0,55.55555555555556,100.0,57.14285714285714,100.0,62.85714285714286,73.33333333333331,55.55555555555556,100.0,100.0,76.47058823529414,45.60602266736947,100.0,100.0,100.0,100.0,100.0,48.841573305092595,100.0,100.0,100.0,55.55555555555556,40.0,57.14285714285714,55.55555555555556,50.0,100.0,100.0,100.0,100.0,75.16778523489933,2.4922118380062304,39.53488372093023,5.2631578947368425,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.333333333333336,2.147239263803681,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.285714285714286,100.0,75.75757575757578,25.0,78.78787878787878,2.1739130434782608,76.4428589726644,0.0
