ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
2840,0,0,0,0,0,0,1,1,3.26
2841,0,0,0,0,0,0,6,0,2.88
2842,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,4,1,3.36
2843,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,Drama/Sastra,Kabupaten/Kodya,0,1,3.43
2844,0,0,0,0,0,0,7,1,3.68
2845,0,0,0,0,0,0,0,0,3.41
2846,0,0,0,0,0,0,7,1,2.94
2847,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade Kimia""",Propinsi,"""Olimpiade Kimia""",Kabupaten/Kodya,7,1,3.86
2848,0,0,0,0,0,0,7,1,3.03
2849,0,0,0,0,0,0,6,0,3.87
2850,0,0,0,0,0,0,8,0,3.91
2851,0,0,0,0,0,0,0,0,3.43
2852,0,0,0,0,0,0,6,0,3.41
2853,0,0,0,0,0,0,0,0,3.36
2854,0,0,0,0,0,0,0,0,3.04
2855,0,0,0,0,0,0,6,0,3.14
2856,"""Olimpiade (Lainnya)""",Sekolah,0,0,0,0,5,0,3.44
2857,0,0,0,0,0,0,7,0,3.72
2858,0,0,0,0,0,0,0,1,2.81
2859,0,0,0,0,0,0,7,1,3.54
2860,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,0,1,2.58
2861,0,0,0,0,0,0,0,0,0.00
2862,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,0,0,0,0,8,1,3.61
2863,0,0,0,0,0,0,7,0,2.35
2864,0,0,0,0,0,0,7,1,2.89
2865,0,0,0,0,0,0,0,1,2.17
2866,Olahraga,Kabupaten/Kodya,0,0,0,0,0,0,0.00
2867,0,0,0,0,0,0,3,1,3.11
2868,0,0,0,0,0,0,5,0,3.61
2869,0,0,0,0,0,0,6,1,2.51
2870,0,0,0,0,0,0,6,1,2.83
2871,0,0,0,0,0,0,5,1,3.43
2872,0,0,0,0,0,0,6,1,2.96
2873,0,0,0,0,0,0,0,1,3.25
2874,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Biologi""",Propinsi,"""Olimpiade Matematika""",Propinsi,0,1,2.92
2875,Olahraga,Propinsi,Olahraga,Propinsi,Olahraga,Propinsi,0,0,2.72
2876,0,0,0,0,0,0,3,1,2.96
2877,0,0,0,0,0,0,4,1,2.18
2878,"""Pramuka/Organisasi Ekstrakurikuler""",Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,7,1,3.31
2879,0,0,0,0,0,0,7,1,2.74
2880,0,0,0,0,0,0,0,1,3.33
2881,"""Olimpiade Matematika""",Kabupaten/Kodya,Penelitian,Kabupaten/Kodya,"""Olimpiade (Lainnya)""",Sekolah,0,1,3.42
2882,0,0,0,0,0,0,4,1,3.63
2883,0,0,0,0,0,0,7,1,3.03
2884,0,0,0,0,0,0,8,1,2.47
2885,0,0,0,0,0,0,0,1,3.04
2886,0,0,0,0,0,0,8,0,0.44
2887,0,0,0,0,0,0,0,0,3.29
2888,Olahraga,Nasional,Olahraga,Nasional,Olahraga,Propinsi,0,1,2.94
2889,0,0,0,0,0,0,0,0,2.79
2890,0,0,0,0,0,0,5,0,2.94
2891,0,0,0,0,0,0,0,0,2.71
2892,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,6,1,2.89
2893,0,0,0,0,0,0,1,0,0.00
2894,0,0,0,0,0,0,5,0,1.59
2895,0,0,0,0,0,0,7,1,3.75
2896,0,0,0,0,0,0,0,0,2.75
2897,0,0,0,0,0,0,6,1,3.78
2898,0,0,0,0,0,0,0,0,2.61
2899,"""Seni Suara/Musik""",Kabupaten/Kodya,0,0,0,0,5,0,2.93
2900,0,0,0,0,0,0,0,1,2.94
2901,0,0,0,0,0,0,0,1,3.00
2902,0,0,0,0,0,0,2,1,3.00
2903,0,0,0,0,0,0,3,1,2.78
2904,0,0,0,0,0,0,4,1,3.17
2905,0,0,0,0,0,0,5,0,3.26
2906,0,0,0,0,0,0,4,0,3.86
2907,0,0,0,0,0,0,5,1,3.39
2908,"""Olimpiade Fisika""",Kabupaten/Kodya,Penelitian,Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,5,1,2.56
2909,0,0,0,0,0,0,4,0,0.00
2910,0,0,0,0,0,0,3,1,2.43
2911,0,0,0,0,0,0,7,1,2.97
2912,0,0,0,0,0,0,8,1,3.57
2913,0,0,0,0,0,0,0,1,3.06
2914,0,0,0,0,0,0,5,1,3.08
2915,0,0,0,0,0,0,4,1,2.96
2916,"""Seni Suara/Musik""",Propinsi,"""Seni Suara/Musik""",Propinsi,"""Seni Suara/Musik""",Kabupaten/Kodya,7,0,2.69
2917,0,0,0,0,0,0,8,0,3.25
2918,0,0,0,0,0,0,5,0,2.81
2919,0,0,0,0,0,0,6,0,2.62
2920,0,0,0,0,0,0,3,1,2.39
2921,"""Olimpiade Ilmu Kebumian""",Propinsi,"""Seni Rupa/Lukis""",Propinsi,"""Seni Rupa/Lukis""",Sekolah,0,1,2.78
2922,0,0,0,0,0,0,0,1,3.50
2923,0,0,0,0,0,0,0,1,2.89
2924,0,0,0,0,0,0,3,1,2.42
2925,0,0,0,0,0,0,0,1,3.08
2926,0,0,0,0,0,0,6,1,3.64
2927,0,0,0,0,0,0,5,1,3.22
2928,0,0,0,0,0,0,3,0,3.21
2929,Olahraga,Nasional,Olahraga,Nasional,Olahraga,Propinsi,5,0,2.93
2930,0,0,0,0,0,0,6,1,3.67
2931,0,0,0,0,0,0,5,1,3.39
2932,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,0,0,8,1,3.35
2933,0,0,0,0,0,0,8,1,3.26
2934,0,0,0,0,0,0,5,0,3.56
2935,0,0,0,0,0,0,0,1,3.33
2936,Drama/Sastra,Nasional,Drama/Sastra,Nasional,0,0,6,1,2.56
2937,0,0,0,0,0,0,4,1,2.67
2938,0,0,0,0,0,0,6,1,2.38
2939,0,0,0,0,0,0,3,0,2.42
2940,0,0,0,0,0,0,5,1,2.81
2941,Olahraga,Propinsi,Olahraga,Propinsi,0,0,7,0,3.10
2942,0,0,0,0,0,0,0,1,2.97
2943,0,0,0,0,0,0,0,1,3.26
2944,"""Seni Suara/Musik""",Kabupaten/Kodya,"""Seni Suara/Musik""",Kabupaten/Kodya,0,0,5,1,2.97
2945,0,0,0,0,0,0,3,1,2.86
2946,0,0,0,0,0,0,0,0,2.33
2947,0,0,0,0,0,0,0,1,3.65
2948,"""Olimpiade Fisika""",Kabupaten/Kodya,"""Olimpiade Fisika""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,1,2.67
2949,0,0,0,0,0,0,5,1,2.50
2950,"""Seni Suara/Musik""",Internasional,0,0,0,0,6,0,3.50
2951,0,0,0,0,0,0,6,0,3.26
2952,0,0,0,0,0,0,1,1,2.92
2953,0,0,0,0,0,0,4,1,3.03
2954,"""Olimpiade Kimia""",Kabupaten/Kodya,Penelitian,Kabupaten/Kodya,0,0,8,1,3.22
2955,"""Olimpiade Fisika""",Kabupaten/Kodya,"""Olimpiade Fisika""",Kabupaten/Kodya,0,0,5,1,2.86
2956,0,0,0,0,0,0,6,1,2.69
2957,0,0,0,0,0,0,7,1,2.56
2958,0,0,0,0,0,0,0,1,2.83
2959,0,0,0,0,0,0,5,1,2.93
2960,0,0,0,0,0,0,0,1,2.92
2961,0,0,0,0,0,0,7,0,3.79
2962,0,0,0,0,0,0,0,1,2.92
2963,0,0,0,0,0,0,8,0,2.12
2964,0,0,0,0,0,0,5,0,0.00
2965,0,0,0,0,0,0,3,1,3.03
2966,0,0,0,0,0,0,5,1,3.44
2967,0,0,0,0,0,0,0,1,3.47
2968,"""Olimpiade Kimia""",Nasional,"""Olimpiade Matematika""",Nasional,"""Olimpiade Matematika""",Nasional,7,0,3.02
2969,"""Seni Suara/Musik""",Kabupaten/Kodya,0,0,0,0,3,0,3.24
2970,0,0,0,0,0,0,0,0,3.38
2971,0,0,0,0,0,0,7,0,3.59
2972,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,5,0,3.13
2973,"""Olimpiade Fisika""",Propinsi,0,0,0,0,5,0,2.76
2974,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Olimpiade Biologi""",Kabupaten/Kodya,0,0,5,0,3.32
2975,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,0,0,0,0,0.00
2976,0,0,0,0,0,0,7,1,2.39
2977,0,0,0,0,0,0,0,1,3.31
2978,0,0,0,0,0,0,0,1,3.69
2979,"""Olimpiade Kimia""",Sekolah,0,0,0,0,3,1,3.00
2980,0,0,0,0,0,0,6,1,3.68
2981,0,0,0,0,0,0,6,1,2.50
2982,0,0,0,0,0,0,5,0,3.75
2983,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,4,0,3.18
2984,0,0,0,0,0,0,5,1,3.42
2985,0,0,0,0,0,0,0,1,2.81
2986,0,0,0,0,0,0,4,0,2.44
2987,Drama/Sastra,Kabupaten/Kodya,0,0,0,0,5,0,2.24
2988,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,8,1,3.69
2989,0,0,0,0,0,0,5,0,3.44
2990,0,0,0,0,0,0,6,1,2.36
2991,0,0,0,0,0,0,7,1,2.67
2992,"""Seni Suara/Musik""",Kabupaten/Kodya,"""Seni Suara/Musik""",Kabupaten/Kodya,0,0,5,1,4.00
2993,0,0,0,0,0,0,0,0,1.79
2994,0,0,0,0,0,0,5,1,3.25
2995,"""Pramuka/Organisasi Ekstrakurikuler""",Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,5,1,3.31
2996,0,0,0,0,0,0,5,1,3.35
2997,0,0,0,0,0,0,3,0,1.69
2998,0,0,0,0,0,0,0,1,3.56
2999,0,0,0,0,0,0,6,0,3.70
3000,0,0,0,0,0,0,5,0,0.00
3001,0,0,0,0,0,0,4,1,3.08
3002,"""Olimpiade Fisika""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,"""Seni Suara/Musik""",Kabupaten/Kodya,5,1,2.78
3003,0,0,0,0,0,0,3,1,3.31
3004,0,0,0,0,0,0,6,0,3.19
3005,0,0,0,0,0,0,4,0,2.82
3006,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,1,0,0.00
3007,0,0,0,0,0,0,7,0,3.53
3008,0,0,0,0,0,0,7,0,2.35
3009,0,0,0,0,0,0,7,1,3.74
3010,0,0,0,0,0,0,8,0,3.48
3011,0,0,0,0,0,0,7,0,3.65
3012,0,0,0,0,0,0,4,0,3.55
3013,0,0,0,0,0,0,8,1,2.71
3014,0,0,0,0,0,0,3,1,2.28
3015,0,0,0,0,0,0,7,1,3.74
3016,"""Seni Rupa/Lukis""",Kabupaten/Kodya,"""Seni Rupa/Lukis""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,8,0,3.54
3017,0,0,0,0,0,0,6,1,3.50
3018,0,0,0,0,0,0,5,1,3.49
3019,0,0,0,0,0,0,5,1,3.31
3020,0,0,0,0,0,0,3,0,3.08
3021,0,0,0,0,0,0,0,1,3.14
3022,0,0,0,0,0,0,5,1,3.31
3023,0,0,0,0,0,0,4,1,2.26
3024,0,0,0,0,0,0,4,1,3.13
3025,0,0,0,0,0,0,5,1,2.42
3026,0,0,0,0,0,0,2,0,0.00
3027,0,0,0,0,0,0,5,0,2.25
3028,0,0,0,0,0,0,8,0,3.56
3029,0,0,0,0,0,0,6,1,3.14
3030,0,0,0,0,0,0,3,0,2.11
3031,"""Seni Suara/Musik""",Nasional,"""Seni Suara/Musik""",Propinsi,"""Seni Suara/Musik""",Propinsi,6,0,4.00
3032,0,0,0,0,0,0,6,1,2.97
3033,0,0,0,0,0,0,6,0,2.76
3034,"""Pramuka/Organisasi Ekstrakurikuler""",Nasional,Drama/Sastra,Propinsi,"""Olimpiade (Lainnya)""",Sekolah,6,0,2.28
3035,0,0,0,0,0,0,4,1,3.36
3036,0,0,0,0,0,0,0,1,2.56
3037,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Matematika""",Propinsi,Olahraga,Kabupaten/Kodya,5,1,3.67
3038,0,0,0,0,0,0,0,1,3.51
3039,0,0,0,0,0,0,0,0,1.89
3040,0,0,0,0,0,0,5,1,3.21
3041,Drama/Sastra,Nasional,"""Seni Suara/Musik""",Propinsi,"""Olimpiade Ilmu Kebumian""",Kabupaten/Kodya,6,1,3.58
3042,0,0,0,0,0,0,3,1,2.86
3043,0,0,0,0,0,0,7,0,3.97
3044,0,0,0,0,0,0,3,0,3.74
3045,"""Seni Rupa/Lukis""",Kabupaten/Kodya,0,0,0,0,0,0,2.93
3046,0,0,0,0,0,0,4,1,3.19
3047,0,0,0,0,0,0,4,0,2.94
3048,0,0,0,0,0,0,7,0,3.21
3049,0,0,0,0,0,0,8,1,2.75
3050,0,0,0,0,0,0,6,0,0.00
3051,0,0,0,0,0,0,5,0,2.91
3052,0,0,0,0,0,0,0,1,3.06
3053,0,0,0,0,0,0,8,0,2.67
3054,0,0,0,0,0,0,6,0,3.75
3055,0,0,0,0,0,0,7,0,3.62
3056,0,0,0,0,0,0,0,0,2.85
3057,0,0,0,0,0,0,0,1,3.00
3058,0,0,0,0,0,0,4,1,2.71
3059,"""Olimpiade Matematika""",Propinsi,0,0,0,0,3,1,2.61
3060,0,0,0,0,0,0,4,1,3.00
3061,0,0,0,0,0,0,0,0,2.94
3062,0,0,0,0,0,0,6,0,1.99
3063,0,0,0,0,0,0,0,1,3.18
3064,0,0,0,0,0,0,4,0,2.64
3065,"""Olimpiade (Lainnya)""",Propinsi,0,0,0,0,7,1,2.47
3066,0,0,0,0,0,0,6,0,2.91
3067,0,0,0,0,0,0,7,0,3.18
3068,0,0,0,0,0,0,0,1,2.74
3069,0,0,0,0,0,0,8,1,2.56
3070,"""Olimpiade Kimia""",Nasional,"""Olimpiade Kimia""",Nasional,"""Olimpiade Biologi""",Nasional,0,1,3.14
3071,0,0,0,0,0,0,7,0,2.28
3072,0,0,0,0,0,0,0,1,2.79
3073,0,0,0,0,0,0,0,0,2.62
3074,0,0,0,0,0,0,4,1,3.50
3075,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Kimia""",Propinsi,0,0,2.69
3076,0,0,0,0,0,0,7,0,3.01
3077,0,0,0,0,0,0,0,0,2.94
3078,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Fisika""",Propinsi,6,1,3.10
3079,0,0,0,0,0,0,6,0,3.53
3080,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Matematika""",Propinsi,6,0,2.71
3081,0,0,0,0,0,0,3,0,2.83
3082,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,3.03
3083,0,0,0,0,0,0,6,1,3.38
3084,0,0,0,0,0,0,6,0,2.84
3085,0,0,0,0,0,0,6,1,2.58
3086,0,0,0,0,0,0,8,1,3.57
3087,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,3.34
3088,0,0,0,0,0,0,0,0,2.54
3089,0,0,0,0,0,0,6,1,3.06
3090,0,0,0,0,0,0,0,0,2.74
3091,0,0,0,0,0,0,0,1,2.89
3092,0,0,0,0,0,0,0,1,2.65
3093,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,Drama/Sastra,Propinsi,0,0,0,1,3.39
3094,0,0,0,0,0,0,4,0,3.68
3095,0,0,0,0,0,0,7,0,3.52
3096,0,0,0,0,0,0,4,1,3.03
3097,0,0,0,0,0,0,6,0,2.36
3098,0,0,0,0,0,0,7,1,3.08
3099,0,0,0,0,0,0,5,1,3.49
3100,0,0,0,0,0,0,0,1,3.50
3101,0,0,0,0,0,0,7,0,2.72
3102,0,0,0,0,0,0,6,1,2.76
3103,0,0,0,0,0,0,5,0,0.00
3104,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,3,1,2.78
3105,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,3,1,2.61
3106,0,0,0,0,0,0,0,0,2.91
3107,0,0,0,0,0,0,0,0,2.22
3108,0,0,0,0,0,0,0,1,2.61
3109,0,0,0,0,0,0,6,0,1.58
3110,0,0,0,0,0,0,5,1,3.39
3111,0,0,0,0,0,0,8,1,3.19
3112,0,0,0,0,0,0,8,1,3.14
3113,0,0,0,0,0,0,0,1,3.22
3114,0,0,0,0,0,0,0,0,2.82
3115,0,0,0,0,0,0,7,1,3.38
3116,0,0,0,0,0,0,0,1,2.85
3117,0,0,0,0,0,0,4,0,0.00
3118,0,0,0,0,0,0,6,1,2.65
3119,0,0,0,0,0,0,6,1,2.86
3120,0,0,0,0,0,0,0,1,2.61
3121,0,0,0,0,0,0,6,0,2.61
3122,0,0,0,0,0,0,4,1,3.17
3123,0,0,0,0,0,0,6,1,2.50
3124,0,0,0,0,0,0,0,0,0.00
3125,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Kimia""",Kabupaten/Kodya,0,0,0,1,3.78
3126,0,0,0,0,0,0,0,0,3.22
3127,0,0,0,0,0,0,0,1,2.89
3128,0,0,0,0,0,0,6,1,2.94
3129,0,0,0,0,0,0,7,0,3.53
3130,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,1,3.42
3131,0,0,0,0,0,0,6,0,3.12
3132,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,Olahraga,Sekolah,0,0,1.99
3133,0,0,0,0,0,0,5,0,3.10
3134,0,0,0,0,0,0,6,0,3.21
3135,0,0,0,0,0,0,0,0,3.09
3136,0,0,0,0,0,0,8,1,3.19
3137,0,0,0,0,0,0,7,0,1.61
3138,0,0,0,0,0,0,5,0,3.57
3139,0,0,0,0,0,0,6,1,2.64
3140,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Kimia""",Kabupaten/Kodya,"""Olimpiade Kimia""",Kabupaten/Kodya,4,1,3.06
3141,0,0,0,0,0,0,5,1,2.75
3142,0,0,0,0,0,0,0,0,3.27
3143,0,0,0,0,0,0,7,1,3.39
3144,0,0,0,0,0,0,0,1,3.33
3145,0,0,0,0,0,0,1,0,0.00
3146,0,0,0,0,0,0,0,1,3.03
3147,0,0,0,0,0,0,0,0,1.72
3148,0,0,0,0,0,0,8,1,2.81
3149,0,0,0,0,0,0,7,0,3.44
3150,"""Olimpiade Kimia""",Nasional,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Biologi""",Propinsi,0,1,2.49
3151,0,0,0,0,0,0,7,1,3.44
3152,"""Olimpiade Kimia""",Nasional,"""Olimpiade Fisika""",Nasional,"""Olimpiade Matematika""",Nasional,5,1,3.25
3153,0,0,0,0,0,0,0,1,2.90
3154,0,0,0,0,0,0,0,0,2.11
3155,0,0,0,0,0,0,3,0,3.61
3156,Olahraga,Kabupaten/Kodya,"""Olimpiade Ekonomi""",Kabupaten/Kodya,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,0,1,2.47
3157,0,0,0,0,0,0,8,1,2.81
3158,0,0,0,0,0,0,0,0,3.93
3159,0,0,0,0,0,0,4,1,2.61
3160,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,6,1,3.08
3161,0,0,0,0,0,0,5,0,3.16
3162,0,0,0,0,0,0,7,0,1.89
3163,0,0,0,0,0,0,0,1,2.85
3164,0,0,0,0,0,0,0,0,0.00
3165,0,0,0,0,0,0,5,1,2.67
3166,0,0,0,0,0,0,8,1,2.81
3167,0,0,0,0,0,0,0,1,2.67
3168,"""Olimpiade (Lainnya)""",Nasional,"""Olimpiade Matematika""",Nasional,"""Olimpiade (Lainnya)""",Nasional,2,1,2.89
3169,0,0,0,0,0,0,7,0,3.44
3170,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,2.75
3171,0,0,0,0,0,0,4,1,2.97
3172,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,7,1,2.29
3173,0,0,0,0,0,0,0,1,3.11
3174,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,1,3.33
3175,0,0,0,0,0,0,5,1,2.65
3176,0,0,0,0,0,0,1,0,3.17
3177,0,0,0,0,0,0,8,1,2.83
3178,0,0,0,0,0,0,5,0,0.00
3179,0,0,0,0,0,0,5,0,2.00
3180,"""Olimpiade Fisika""",Propinsi,"""Olimpiade Fisika""",Kabupaten/Kodya,0,0,1,1,3.47
3181,0,0,0,0,0,0,8,1,2.47
3182,0,0,0,0,0,0,5,1,2.68
3183,0,0,0,0,0,0,5,0,3.49
3184,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,7,1,3.03
3185,0,0,0,0,0,0,5,1,2.71
3186,"""Olimpiade Fisika""",Kabupaten/Kodya,0,0,0,0,5,0,3.03
3187,0,0,0,0,0,0,6,0,3.56
3188,0,0,0,0,0,0,7,1,2.17
3189,0,0,0,0,0,0,0,1,3.31
3190,0,0,0,0,0,0,7,0,2.72
3191,"""Olimpiade Kimia""",Propinsi,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Kimia""",Propinsi,3,0,3.17
3192,0,0,0,0,0,0,6,1,3.22
3193,0,0,0,0,0,0,7,1,3.10
3194,0,0,0,0,0,0,8,1,2.81
3195,0,0,0,0,0,0,4,1,2.63
3196,0,0,0,0,0,0,4,0,3.08
3197,0,0,0,0,0,0,5,1,3.22
3198,"""Olimpiade Kimia""",Nasional,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,0,0,3,1,2.53
3199,0,0,0,0,0,0,7,1,3.31
3200,0,0,0,0,0,0,6,1,2.97
3201,0,0,0,0,0,0,1,1,3.25
3202,0,0,0,0,0,0,0,1,3.22
3203,0,0,0,0,0,0,0,1,2.50
3204,"""Olimpiade Astronomi & Astrofisika""",Kabupaten/Kodya,0,0,0,0,5,1,3.22
3205,0,0,0,0,0,0,4,1,3.26
3206,0,0,0,0,0,0,4,1,3.17
3207,0,0,0,0,0,0,5,1,2.83
3208,0,0,0,0,0,0,8,0,3.74
3209,0,0,0,0,0,0,0,0,2.69
3210,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,8,1,3.25
3211,0,0,0,0,0,0,7,1,3.15
3212,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Olimpiade (Lainnya)""",Sekolah,8,0,3.65
3213,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,6,0,3.18
3214,0,0,0,0,0,0,5,1,3.44
3215,0,0,0,0,0,0,0,1,2.85
3216,0,0,0,0,0,0,7,0,3.72
3217,0,0,0,0,0,0,6,0,2.57
3218,0,0,0,0,0,0,6,0,3.13
3219,0,0,0,0,0,0,7,1,3.63
3220,0,0,0,0,0,0,0,1,3.54
3221,0,0,0,0,0,0,8,0,1.74
3222,0,0,0,0,0,0,4,0,2.93
3223,0,0,0,0,0,0,8,0,3.26
3224,"""Seni Rupa/Lukis""",Kabupaten/Kodya,0,0,0,0,7,1,3.53
3225,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Biologi""",Kabupaten/Kodya,0,0,0,0,3.19
3226,0,0,0,0,0,0,7,0,3.91
3227,0,0,0,0,0,0,3,1,2.31
3228,0,0,0,0,0,0,8,0,3.04
3229,0,0,0,0,0,0,5,1,2.64
3230,0,0,0,0,0,0,6,0,0.11
3231,0,0,0,0,0,0,6,1,2.89
3232,0,0,0,0,0,0,4,1,3.39
3233,0,0,0,0,0,0,5,1,2.53
3234,0,0,0,0,0,0,2,1,2.99
3235,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Fisika""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,3,1,2.81
3236,0,0,0,0,0,0,7,0,3.26
3237,Olahraga,Propinsi,Olahraga,Kabupaten/Kodya,0,0,0,1,2.53
3238,0,0,0,0,0,0,6,0,0.00
3239,0,0,0,0,0,0,4,1,3.56
3240,0,0,0,0,0,0,6,0,3.27
3241,0,0,0,0,0,0,6,0,0.56
3242,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,2,0,0.00
3243,"""Olimpiade Biologi""",Nasional,Drama/Sastra,Kabupaten/Kodya,0,0,7,1,2.51
3244,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,6,0,0.32
3245,0,0,0,0,0,0,0,0,2.60
3246,0,0,0,0,0,0,0,0,3.47
3247,0,0,0,0,0,0,0,1,2.68
3248,0,0,0,0,0,0,0,1,3.36
3249,0,0,0,0,0,0,5,0,2.33
3250,0,0,0,0,0,0,0,1,3.21
3251,"""Pramuka/Organisasi Ekstrakurikuler""",Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,0,0,0,1,3.25
3252,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,0,0,6,1,2.83
3253,0,0,0,0,0,0,0,1,2.92
3254,0,0,0,0,0,0,0,1,3.39
3255,"""Olimpiade Fisika""",Propinsi,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,0,0,0,0,2.44
3256,"""Olimpiade Matematika""",Kabupaten/Kodya,"""Olimpiade Kimia""",Sekolah,0,0,7,1,2.86
3257,0,0,0,0,0,0,6,1,2.85
3258,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Matematika""",Propinsi,5,0,3.30
3259,0,0,0,0,0,0,6,1,2.76
3260,0,0,0,0,0,0,0,0,2.96
3261,0,0,0,0,0,0,7,1,2.94
3262,0,0,0,0,0,0,5,1,3.18
3263,0,0,0,0,0,0,4,0,2.36
