ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
2533,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,8,0,0.00
2534,"""Olimpiade (Lainnya)""",Nasional,0,0,0,0,7,1,3.19
2535,0,0,0,0,0,0,0,1,2.85
2536,0,0,0,0,0,0,0,1,2.92
2537,0,0,0,0,0,0,0,1,2.81
2538,0,0,0,0,0,0,6,1,3.35
2539,0,0,0,0,0,0,6,1,2.96
2540,"""Olimpiade Fisika""",Kabupaten/Kodya,"""Olimpiade Matematika""",Kabupaten/Kodya,0,0,0,0,3.33
2541,0,0,0,0,0,0,3,1,2.67
2542,0,0,0,0,0,0,0,1,2.86
2543,0,0,0,0,0,0,4,0,0.00
2544,0,0,0,0,0,0,5,1,2.42
2545,0,0,0,0,0,0,5,1,2.58
2546,0,0,0,0,0,0,6,0,3.28
2547,"""Olimpiade Kimia""",Kabupaten/Kodya,0,0,0,0,5,1,3.00
2548,0,0,0,0,0,0,0,1,2.58
2549,0,0,0,0,0,0,0,1,3.32
2550,0,0,0,0,0,0,7,0,0.00
2551,0,0,0,0,0,0,0,1,3.14
2552,0,0,0,0,0,0,5,0,2.98
2553,0,0,0,0,0,0,5,1,2.94
2554,0,0,0,0,0,0,7,0,3.53
2555,"""Seni Rupa/Lukis""",Sekolah,"""Seni Rupa/Lukis""",Sekolah,0,0,0,0,3.38
2556,0,0,0,0,0,0,5,1,2.00
2557,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,0,0,0,0,7,0,2.58
2558,0,0,0,0,0,0,5,0,3.60
2559,0,0,0,0,0,0,7,0,3.74
2560,"""Olimpiade (Lainnya)""",Nasional,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,5,0,3.28
2561,0,0,0,0,0,0,0,1,3.11
2562,0,0,0,0,0,0,0,1,2.72
2563,0,0,0,0,0,0,0,1,2.83
2564,0,0,0,0,0,0,2,1,2.72
2565,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Biologi""",Propinsi,0,0,5,1,2.75
2566,0,0,0,0,0,0,0,1,2.75
2567,0,0,0,0,0,0,0,0,2.30
2568,0,0,0,0,0,0,0,1,3.00
2569,0,0,0,0,0,0,0,1,2.53
2570,0,0,0,0,0,0,4,1,2.81
2571,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Seni Tari""",Sekolah,0,1,3.35
2572,0,0,0,0,0,0,0,0,3.15
2573,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,6,1,2.44
2574,"""Olimpiade (Lainnya)""",Kabupaten/Kodya,"""Olimpiade (Lainnya)""",Sekolah,"""Olimpiade (Lainnya)""",Sekolah,0,0,2.42
2575,0,0,0,0,0,0,0,1,3.17
2576,0,0,0,0,0,0,6,1,2.60
2577,"""Olimpiade (Lainnya)""",Propinsi,0,0,0,0,0,1,2.85
2578,0,0,0,0,0,0,5,1,3.31
2579,0,0,0,0,0,0,1,1,3.01
2580,0,0,0,0,0,0,6,1,2.71
2581,0,0,0,0,0,0,0,0,3.06
2582,Penelitian,Nasional,"""Olimpiade Fisika""",Nasional,Penelitian,Propinsi,3,1,2.51
2583,0,0,0,0,0,0,3,1,2.76
2584,0,0,0,0,0,0,0,0,3.66
2585,0,0,0,0,0,0,0,1,3.10
2586,0,0,0,0,0,0,0,1,2.94
2587,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,0,5,0,0.00
2588,"""Olimpiade Komputer""",Kabupaten/Kodya,0,0,0,0,7,0,2.26
2589,0,0,0,0,0,0,2,1,3.22
2590,0,0,0,0,0,0,0,1,2.92
