indeks_mapel_un_1_5;presentase_rangking _1_5;indeks_mapel_un_3_5;presentase_rangking _1_5;lulus_tpb
79;33;78;56;0
85;16;84;12;1
85;38;84;24;1
78;19;79;22;1
88;58;87;66;1
89;49;90;43;1
92;9;93;17;0
83;50;86;40;1
83;42;86;33;1
88;4;90;5;0
87;4;89;3;1
83;52;85;50;1
89;3;89;7;1
83;6;81;4;0
89;24;90;23;1
81;13;81;17;1
84;22;84;19;1
85;50;88;46;1
80;26;82;33;1
83;49;84;46;1
83;26;86;30;1
83;34;85;32;0
81;28;83;29;0
84;48;86;52;1
84;40;87;29;0
83;76;81;75;1
81;63;81;59;0
82;52;84;56;1
85;39;87;19;1
81;52;82;58;1
83;46;84;42;1
82;19;82;23;1
86;19;87;17;1
85;11;86;12;1
86;39;88;27;1
81;23;81;29;1
79;68;80;65;1
80;19;84;13;1
80;77;80;68;1
85;43;85;46;1
82;5;83;8;1
82;62;83;65;1
87;30;89;27;0
87;22;90;14;0
80;49;81;50;1
81;48;82;39;1
81;58;82;54;1
83;45;83;56;1
80;55;81;56;1
80;17;80;23;1
80;38;82;39;1
82;32;86;26;0
82;61;83;56;1
88;5;90;5;1
77;53;80;41;1
80;41;81;62;1
81;8;84;8;0
81;76;82;72;1
86;32;88;32;1
82;11;83;8;1
79;81;80;67;1
87;20;88;30;1
83;36;86;44;0
84;19;85;23;1
92;9;93;16;0
93;8;94;12;1
82;15;81;19;1
85;25;84;22;1
81;84;81;75;1
81;10;84;23;1
84;16;85;28;1
84;14;86;20;1
81;80;84;70;1
79;30;79;53;1
83;7;84;57;1
83;35;87;25;1
76;40;78;35;0
85;54;86;64;1
82;2;84;3;1
80;61;80;72;0
83;82;84;78;1
80;44;80;58;1
87;60;89;70;1
85;70;87;73;1
84;48;85;46;1
86;50;87;65;1
80;72;79;66;1
81;23;79;70;1
83;35;85;31;1
83;71;88;53;0
83;31;86;15;0
81;10;83;9;1
90;1;92;2;1
88;1;90;6;0
77;60;80;40;1
81;31;83;28;0
92;15;94;16;1
80;100;79;95;1
79;64;81;61;1
83;52;83;62;1
90;2;92;2;1
85;6;83;12;1
80;33;82;32;1
82;51;81;45;1
80;64;83;36;1
82;5;83;2;1
87;3;88;6;0
84;47;87;32;1
85;42;89;55;1
78;100;79;100;1
83;11;84;20;1
85;53;86;41;1
80;9;80;16;1
78;72;80;46;1
78;41;82;29;1
84;15;86;16;1
85;24;86;9;1
81;46;82;45;1
84;61;86;36;1
87;10;89;8;1
86;24;87;44;1
90;12;92;16;0
80;9;81;20;1
79;70;80;62;1
82;8;83;5;1
86;16;87;9;1
85;6;87;7;1
83;1;83;4;1
87;3;88;2;1
80;23;82;34;1
78;48;79;38;1
81;59;83;57;1
84;55;85;54;1
88;68;88;67;1
79;16;80;17;1
81;43;82;38;1
76;68;78;65;1
83;66;84;71;1
80;29;83;16;1
81;27;84;25;1
81;24;81;11;1
92;6;92;25;1
84;58;89;47;0
77;69;78;59;0
84;10;85;5;0
80;55;82;45;1
76;39;79;36;1
82;46;83;51;1
83;6;85;9;1
78;64;78;78;1
81;61;83;48;1
86;8;86;19;1
90;14;91;41;1
80;19;79;26;0
82;59;84;53;0
81;56;82;42;1
84;50;87;38;1
83;9;83;8;1
85;54;87;24;1
85;41;86;36;1
85;18;87;25;1
78;32;79;31;1
77;58;78;48;1
84;9;85;20;1
81;47;82;54;1
84;36;86;26;1
79;31;81;30;1
77;71;78;63;1
87;31;89;26;1
79;13;78;22;1
78;78;76;49;0
87;28;91;36;1
83;59;85;62;0
81;50;83;24;1
85;62;82;38;1
85;76;87;65;1
80;65;82;52;1
78;51;76;62;1
79;53;80;37;1
80;66;80;62;1
82;11;84;9;0
81;27;81;33;0
81;43;83;43;0
89;6;89;9;0
83;13;84;22;1
81;18;82;42;1
85;47;87;35;1
78;63;79;70;1
81;24;81;29;1
83;7;84;7;1
80;57;81;56;1
81;76;82;75;1
83;9;85;8;1
80;36;82;28;1
83;63;84;63;1
81;38;81;33;1
87;21;86;16;1
81;65;82;49;1
80;51;82;46;1
83;68;85;65;1
84;33;85;21;1
80;60;82;63;1
78;57;79;54;1
79;56;81;40;0
80;22;81;37;1
80;24;81;22;0
84;44;86;31;1
84;17;83;24;1
85;47;86;41;1
80;41;81;25;1
77;46;78;49;1
82;38;83;50;0
85;30;86;36;1
85;10;88;11;1
82;40;85;35;1
89;7;93;3;1
86;4;85;8;1
80;80;81;67;0
84;61;86;35;1
81;76;82;70;1
88;59;92;34;1
88;8;90;11;1
80;39;80;71;1
83;61;83;79;0
83;27;83;38;1
90;15;91;18;1
85;4;86;4;1
84;10;83;28;1
80;23;80;55;1
85;37;86;42;1
80;36;80;35;1
83;44;83;69;1
80;82;81;64;1
83;20;83;36;1
78;63;79;64;1
88;5;89;5;1
87;9;88;10;1
88;7;90;3;1
81;33;83;38;1
86;5;88;12;1
77;53;79;50;1
81;32;82;30;1
84;8;86;17;1
85;6;87;9;1
85;38;86;54;1
81;35;85;32;1
79;38;81;27;1
85;23;86;30;1
85;79;87;61;1
81;31;83;31;1
92;5;91;30;1
82;24;83;19;1
82;23;83;36;1
81;43;82;56;1
84;53;85;53;0
83;4;85;7;1
77;62;76;51;1
80;20;82;15;1
88;17;89;16;1
72;62;71;56;0
84;91;87;73;1
80;7;81;18;1
78;56;78;55;0
80;24;82;24;1
85;35;84;38;1
89;3;89;6;0
82;2;82;4;1
79;34;79;42;1
83;75;85;79;1
82;44;84;51;1
83;23;82;40;1
81;25;84;27;1
78;72;84;27;1
80;31;84;27;1
84;24;84;27;1
79;20;84;27;1
83;47;84;27;1
84;4;84;27;0
82;62;84;27;1
83;8;84;27;1
86;10;84;27;1
84;29;84;27;1
86;11;84;27;1
83;42;84;27;1
80;36;84;27;1
89;3;84;27;0
87;20;84;27;1
79;67;84;27;1
81;50;84;27;1
85;3;84;27;1
85;17;84;27;1
80;36;84;27;1
82;63;84;27;1
82;14;84;27;0
84;16;84;27;1
84;34;84;27;1
83;52;84;27;1
83;31;84;27;1
87;4;84;27;1
87;12;84;27;1
83;12;84;27;1
83;20;84;27;0
81;29;84;27;1
84;3;84;27;0
86;19;84;27;1
86;18;84;27;1
83;45;84;27;1
80;70;84;27;1
86;40;84;27;0
86;23;84;27;1
86;19;84;27;1
87;12;84;27;1
84;62;84;27;1
81;20;84;27;0
80;8;84;27;1
78;24;84;27;0
82;21;84;27;1
81;45;84;27;1
86;22;84;27;1
79;40;84;27;1
83;44;84;27;1
82;60;84;27;0
85;5;84;27;1
86;29;84;27;1
88;7;84;27;1
81;33;84;27;1
85;7;84;27;0
82;58;84;27;1
84;13;84;27;1
83;20;84;27;0
84;12;84;27;1
86;40;84;27;0
90;51;84;27;1
87;11;84;27;0
85;25;84;27;1
78;58;84;27;1
86;8;84;27;1
81;40;84;27;1
81;8;84;27;1
87;26;84;27;0
88;12;84;27;1
79;9;84;27;1
85;34;84;27;1
82;49;84;27;1
84;10;84;27;1
90;2;84;27;1
86;22;84;27;1
89;7;84;27;1
79;27;84;27;1
78;87;84;27;1
86;16;84;27;1
83;10;84;27;1
81;52;84;27;1
85;6;84;27;1
84;69;84;27;1
81;40;84;27;0
80;56;84;27;1
87;12;84;27;1
86;36;84;27;1
86;47;84;27;1
85;22;84;27;1
87;30;84;27;1
84;14;84;27;1
88;7;84;27;1
83;55;84;27;0
79;29;84;27;1
86;19;84;27;1
82;7;84;27;1
80;26;84;27;1
82;23;84;27;1
83;10;84;27;1
83;80;84;27;0
84;43;84;27;1
84;43;84;27;1
83;3;84;27;1
79;50;84;27;1
87;13;84;27;1
86;4;84;27;1
79;33;84;27;1
83;5;84;27;0
81;31;84;27;1
82;46;84;27;1
83;17;84;27;1
79;27;84;27;1
83;16;84;27;1
85;50;84;27;1
82;36;84;27;1
87;20;84;27;1
80;55;84;27;1
83;3;84;27;1
83;13;84;27;1
86;1;84;27;1
81;31;84;27;1
81;7;84;27;1
86;39;84;27;1
85;45;84;27;0
85;6;84;27;1
86;18;84;27;1
81;67;84;27;1
84;16;84;27;1
85;47;84;27;1
87;24;84;27;1
79;42;84;27;1
81;30;84;27;1
82;18;84;27;0
85;8;84;27;0
80;82;84;27;1
93;9;84;27;1
81;26;84;27;1
83;20;84;27;1
82;25;84;27;1
82;40;84;27;0
84;22;84;27;1
83;40;84;27;1
81;20;84;27;0
85;24;84;27;1
87;9;84;27;1
80;44;84;27;1
78;17;84;27;1
85;56;84;27;1
83;31;84;27;1
85;31;84;27;1
87;10;84;27;1
88;8;84;27;1
85;34;84;27;1
86;18;84;27;0
83;9;84;27;1
83;5;84;27;1
79;36;84;27;1
84;41;84;27;1
84;57;84;27;1
86;34;84;27;1
84;43;84;27;1
86;18;84;27;1
