,angkatan,gol_ukt,4-FIS.Basis,5-MAT.Basis,4-KIM.Basis,jumlah_siswa-5,5-FIS.Basis,4-MAT,2-GEO.Unit,ranking_mapel_un-4,lulus_tpb
0,0.0,20.0,50.0,86.66666666666667,55.55555555555556,0.0,5.154639175257731,36.111111111111086,100.0,0.2824858757062147,0.0
1,0.0,50.0,50.0,33.333333333333336,55.55555555555556,14.672686230248308,5.154639175257731,47.2222222222222,100.0,1.1299435028248588,1.0
2,0.0,80.0,50.0,33.333333333333336,55.55555555555556,6.997742663656886,5.154639175257731,57.833333333333286,100.0,3.1073446327683616,1.0
3,0.0,80.0,50.0,33.333333333333336,55.55555555555556,18.058690744920995,5.154639175257731,47.2222222222222,100.0,4.519774011299435,1.0
4,0.0,50.0,50.0,33.333333333333336,55.55555555555556,14.446952595936795,5.154639175257731,77.77777777777777,100.0,12.994350282485875,1.0
5,0.0,30.0,50.0,33.333333333333336,55.55555555555556,14.446952595936795,5.154639175257731,77.77777777777777,100.0,8.757062146892656,1.0
6,0.0,50.0,50.0,33.333333333333336,55.55555555555556,6.54627539503386,5.154639175257731,90.27777777777777,100.0,1.9774011299435028,0.0
7,0.0,70.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,58.333333333333314,100.0,18.361581920903955,1.0
8,0.0,50.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,66.66666666666666,100.0,16.384180790960453,1.0
9,0.0,30.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,72.2222222222222,100.0,2.5423728813559325,0.0
10,0.0,30.0,50.0,33.333333333333336,55.55555555555556,34.762979683972915,1.0309278350515463,77.77777777777777,0.0,1.1299435028248588,1.0
11,0.0,90.0,50.0,33.333333333333336,55.55555555555556,49.887133182844245,5.154639175257731,55.55555555555554,100.0,39.548022598870055,1.0
12,0.0,20.0,75.0,46.66666666666667,55.55555555555556,32.7313769751693,7.216494845360824,66.66666666666666,100.0,4.237288135593221,1.0
13,0.0,70.0,50.0,33.333333333333336,55.55555555555556,7.44920993227991,5.154639175257731,50.0,100.0,0.2824858757062147,0.0
14,0.0,0.0,50.0,33.333333333333336,55.55555555555556,10.609480812641085,5.154639175257731,63.888888888888886,100.0,2.5423728813559325,1.0
15,0.0,40.0,50.0,33.333333333333336,55.55555555555556,4.514672686230249,5.154639175257731,91.66666666666663,100.0,0.5649717514124293,1.0
16,0.0,30.0,50.0,33.333333333333336,55.55555555555556,1.1286681715575622,5.154639175257731,63.888888888888886,100.0,0.2824858757062147,1.0
17,0.0,40.0,50.0,46.66666666666667,55.55555555555556,1.1286681715575622,5.154639175257731,69.44444444444443,100.0,0.5649717514124293,1.0
18,0.0,0.0,50.0,46.66666666666667,55.55555555555556,56.433408577878104,7.216494845360824,33.333333333333314,100.0,18.361581920903955,1.0
19,0.0,90.0,0.0,6.666666666666668,11.111111111111114,66.81715575620767,1.0309278350515463,58.333333333333314,100.0,37.570621468926554,1.0
20,0.0,70.0,50.0,33.333333333333336,55.55555555555556,58.690744920993225,5.154639175257731,66.66666666666666,100.0,24.576271186440678,1.0
21,0.0,30.0,50.0,6.666666666666668,55.55555555555556,47.1783295711061,5.154639175257731,69.44444444444443,100.0,17.51412429378531,0.0
22,0.0,30.0,50.0,33.333333333333336,55.55555555555556,44.01805869074492,5.154639175257731,55.55555555555554,100.0,9.322033898305085,0.0
23,0.0,30.0,50.0,33.333333333333336,55.55555555555556,24.153498871331827,7.216494845360824,63.888888888888886,100.0,12.429378531073446,1.0
24,0.0,50.0,75.0,33.333333333333336,55.55555555555556,33.408577878103834,7.216494845360824,83.33333333333331,100.0,12.994350282485875,0.0
25,0.0,20.0,50.0,33.333333333333336,55.55555555555556,6.997742663656886,5.154639175257731,50.74999999999997,100.0,7.344632768361582,1.0
26,0.0,70.0,25.0,20.0,33.33333333333333,5.417607223476298,3.092783505154639,55.55555555555554,100.0,5.084745762711865,0.0
27,0.0,70.0,50.0,33.333333333333336,55.55555555555556,58.690744920993225,5.154639175257731,61.111111111111086,100.0,37.005649717514125,1.0
28,0.0,30.0,50.0,33.333333333333336,55.55555555555556,4.514672686230249,5.154639175257731,50.0,100.0,0.5649717514124293,1.0
29,0.0,40.0,50.0,33.333333333333336,55.55555555555556,58.01354401805869,5.154639175257731,50.0,100.0,25.706214689265536,1.0
30,0.0,0.0,0.0,6.666666666666668,11.111111111111114,66.81715575620767,1.0309278350515463,50.0,100.0,29.096045197740114,1.0
31,0.0,40.0,50.0,33.333333333333336,55.55555555555556,20.54176072234763,5.154639175257731,47.2222222222222,100.0,4.80225988700565,1.0
32,0.0,60.0,50.0,33.333333333333336,55.55555555555556,15.80135440180587,5.154639175257731,69.44444444444443,100.0,2.824858757062147,1.0
33,0.0,50.0,50.0,46.66666666666667,55.55555555555556,5.417607223476298,5.154639175257731,77.77777777777777,100.0,0.847457627118644,1.0
34,0.0,60.0,50.0,46.66666666666667,77.77777777777779,22.799097065462753,5.154639175257731,74.99999999999997,100.0,8.474576271186441,1.0
35,0.0,0.0,50.0,33.333333333333336,55.55555555555556,12.866817155756207,5.154639175257731,61.111111111111086,100.0,4.519774011299435,1.0
36,0.0,50.0,0.0,33.333333333333336,11.111111111111114,36.56884875846501,1.0309278350515463,19.44444444444443,100.0,26.271186440677965,1.0
37,0.0,30.0,75.0,46.66666666666667,77.77777777777779,25.733634311512414,9.278350515463917,63.888888888888886,100.0,4.519774011299435,1.0
