ID,1-IND,1-ING,1-MAT,1-BIO,1-FIS,1-KIM,1-EKO,1-GEO,1-SOS,1-BAS,1-AGM,1-PJO,1-SNB,2-IND,2-ING,2-MAT,2-BIO,2-FIS,2-KIM,2-EKO,2-GEO,2-SOS,2-BAS,2-AGM,2-PJO,2-SNB,3-IND,3-ING,3-MAT,3-BIO,3-FIS,3-KIM,3-EKO,3-GEO,3-SOS,3-BAS,3-AGM,3-PJO,3-SNB,4-IND,4-ING,4-MAT,4-BIO,4-FIS,4-KIM,4-EKO,4-GEO,4-SOS,4-BAS,4-AGM,4-PJO,4-SNB,5-IND,5-ING,5-MAT,5-BIO,5-FIS,5-KIM,5-EKO,5-GEO,5-SOS,5-BAS,5-AGM,5-PJO,5-SNB,indeks_mapel_un_1_5,ranking_mapel_un_1_5,indeks_mapel_un-1,ranking_mapel_un-1,indeks_mapel_un-2,ranking_mapel_un-2,indeks_mapel_un-3,ranking_mapel_un-3,indeks_mapel_un-4,ranking_mapel_un-4,indeks_mapel_un-5,ranking_mapel_un-5
1515,90,90,76,75,77,78,77,84,89,78,88,83,87,87,79,82,87,78,81,80,78,89,78,90,87,91,83,81,73,78,78,73,NULL,NULL,NULL,80,87,82,85,87,82,80,82,79,83,NULL,NULL,NULL,90,90,84,90,89,80,78,79,74,70,NULL,NULL,NULL,83,88,86,93,80.78,57,81.17,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1516,91,93,86,85,82,87,73,NULL,70,NULL,87,80,83,95,91,87,89,86,88,82,NULL,79,NULL,87,86,77,89,84,81,85,86,89,82,NULL,83,NULL,93,88,90,93,89,93,81,78,87,75,NULL,74,NULL,86,86,82,87,86,85,83,84,87,85,NULL,NULL,NULL,89,83,95,87.44,40,86.82,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1517,90,86,89,86,80,86,84,82,82,88,83,80,85,80,84,81,82,90,84,80,84,80,86,87,88,85,84,85,87,84,87,87,NULL,NULL,NULL,91,83,90,80,85,82,84,88,84,90,NULL,NULL,NULL,86,90,87,88,87,89,91,92,84,81,NULL,NULL,NULL,82,80,88,85,86.1,60,87.41,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1518,83,83,90,85,87,90,86,NULL,NULL,NULL,87,94,83,82,82,87,94,83,87,83,NULL,NULL,NULL,83,77,80,89,82,87,82,85,87,79,NULL,NULL,NULL,84,85,89,90,82,88,89,87,87,83,NULL,NULL,NULL,89,88,84,85,83,95,90,87,85,86,NULL,NULL,NULL,87,88,85,86.57,13,87.27,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1519,88.01,88,91,91,87,90,NULL,NULL,NULL,NULL,93.1,92.17,100,88,92,97,90,86.2,89,NULL,NULL,NULL,NULL,89,87,89.69,93.4,90.54,89,89.4,83,90.57,NULL,NULL,NULL,NULL,89.85,80,84,88,79.77,97.2,95,84.63,87,NULL,NULL,NULL,NULL,92,93,84,89,96,99,92.2,86,92.9,NULL,NULL,NULL,NULL,88,81.12,84,90.07,11,90.13,10,89.64,14,91.82,9,90.18,17,88.55,9
1520,78,84,80,85,79,85,80,81,85,91,85,75,86,82,80,83,86,81,85,80,75,81,77,88,81,86,86,90,83,88,82,96,NULL,NULL,NULL,87,88,82,82,83,80,82,84,86,80,NULL,NULL,NULL,79,80,85,80,86,85,85,80,75,82,NULL,NULL,NULL,90,81,78,80,83.95,5,81.44,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1521,82,81,81,81,79,84,77,NULL,NULL,85,82,79,85,79,89,81,83,78,83,77,NULL,NULL,85,89,79,85,82,89,80,83,78,84,87,NULL,NULL,85,89,79,77,82,89,81,77,78,83,87,NULL,NULL,85,86,84,77,82,89,83,77,78,84,79,NULL,NULL,NULL,86,84,85,81.51,78,79.86,75,81,75,82.13,66,82.09,81,82.09,81
1522,91,91,90,90,90,90,NULL,90,NULL,91,89,87,91,89,92,90,95,94,95,NULL,89,NULL,89,90,85,87,92,92,93,95,90,90,NULL,89,NULL,91,90,87,90,89,90,92,95,91,92,NULL,89,NULL,89,88,94,86,95,97,90,93,93,92,NULL,96,NULL,NULL,93,88,88,92.11,2,90.89,3,90.21,2,91.45,2,92.55,4,95,2
1523,79,83,82,83,84,72,85,NULL,NULL,NULL,78,79,82,84,83,80,77,74,85,77,NULL,NULL,NULL,75,70,85,80,82,77,81,70,79,80,NULL,NULL,NULL,81,81,86,79,82,72,79,86,75,79,NULL,NULL,NULL,77,78,84,78,85,80,78,85,76,73,NULL,NULL,NULL,83,84,81,79.53,55,78,18,77.11,46,78.82,81,80.91,59,82.27,128
1524,90,90,86,85,85,88,87,86,87,87,90,88,90,88,87,84.8,86,87,87,87,85,89,86,92,89,92,92.3,87,85,89,86,84,NULL,NULL,NULL,85,90,87,90,87,88,84,87,87,86,NULL,NULL,NULL,89,90,87,91,88,92,91.37,84,88,87,NULL,NULL,NULL,87,91,90,96,87.43,59,85.42,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
