ID,1-IND,1-ING,1-MAT,1-BIO,1-FIS,1-KIM,1-EKO,1-GEO,1-SOS,1-BAS,1-AGM,1-PJO,1-SNB,2-IND,2-ING,2-MAT,2-BIO,2-FIS,2-KIM,2-EKO,2-GEO,2-SOS,2-BAS,2-AGM,2-PJO,2-SNB,3-IND,3-ING,3-MAT,3-BIO,3-FIS,3-KIM,3-EKO,3-GEO,3-SOS,3-BAS,3-AGM,3-PJO,3-SNB,4-IND,4-ING,4-MAT,4-BIO,4-FIS,4-KIM,4-EKO,4-GEO,4-SOS,4-BAS,4-AGM,4-PJO,4-SNB,5-IND,5-ING,5-MAT,5-BIO,5-FIS,5-KIM,5-EKO,5-GEO,5-SOS,5-BAS,5-AGM,5-PJO,5-SNB,indeks_mapel_un_1_5,ranking_mapel_un_1_5,indeks_mapel_un-1,ranking_mapel_un-1,indeks_mapel_un-2,ranking_mapel_un-2,indeks_mapel_un-3,ranking_mapel_un-3,indeks_mapel_un-4,ranking_mapel_un-4,indeks_mapel_un-5,ranking_mapel_un-5
1,80,82,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,83,79,80,79,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,84,78,81,78,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,82,87,80,78,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,80,77,79,84,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,75,NULL,78.8165,1,79.6,1,77.2,1,78.09090909,2,77,2,79.375,1
2,85,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,78,85,90,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,78,83,83,89,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,85,90,86,92,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,80,85,90,87,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,85,NULL,85.4865,11,86.875,22,88.75,9,82.125,13,83.75,5,86.2,6
3,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,84,85.6,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,85.2,82,82,80.25,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,91,87.5,79.4,84.47,82.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.88,85,86,79.75,89.63,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.4,92,85,84.7756,13,86.35294118,21,85.88235294,30,82.69117647,7,84.02882353,12,85.026,5
4,80,77,73,80,75,74,70,78,76,80,84,78,NULL,80,80,75,80,78,75,78,79,77,70,78,80,NULL,79,80,78,78,78,77,NULL,NULL,NULL,78,78,78,NULL,80,80,79,81,76,78,NULL,NULL,NULL,77,80,82,NULL,81,82,78,80,77,76,NULL,NULL,NULL,85,78,82,NULL,78.2963,16,76.55555556,10,78.11111111,8,78.33333333,13,79,17,79,24
5,96,96,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,85,90,85,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,85,90,80,85,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,90,85,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,90,85,85,90,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,85,90,87.973,39,93.125,9,87.5,23,83.75,63,86.25,47,90,22
6,90,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,90,90,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,85,90,96,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,95,90,85,96,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,95,90,90,85,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,85,90,89.2973,33,88.875,50,88.125,17,89.625,32,89.5,32,91,21
7,83.7,85,87,83.7,80,80,83.7,85,NULL,NULL,92.5,87,92.5,93.5,92.5,94.5,94.5,92.5,94,93.5,92.5,NULL,NULL,93.5,95,83.75,90,91,91.5,91,92,90,91,91.5,NULL,NULL,92.5,91.5,95.5,94,93.5,94.5,94.5,92.5,92.5,94,93.5,NULL,NULL,91,94.5,91,95,95.5,96,95,96.5,95.5,96,95.5,NULL,NULL,83.75,93.5,94,91.5986,3,83.38157895,16,93.68421053,5,90.90909091,4,93.59090909,8,95.59090909,4
8,77,80,76,77,80,75,80,74,75,80,92,84,85,80,84,77,79,81,79,82,78,80,90,84,83,85,82,86,79,83,83,82,NULL,NULL,NULL,81,78,79,81,87,90,83,85,84,88,NULL,NULL,NULL,89,90,80,85,88,94,86,85,86,89,NULL,NULL,NULL,NULL,83,78,85,83.1518,111,77.55,130,80.1,111,82.5,115,86.16666667,66,88,77
9,78,80,77,77,80,76,78,73,75,75,77,85,80,80,82,78,79,80,78,80,80,80,86,88,83,88,85,88,84,83,83,86,NULL,NULL,NULL,77,82,79,88,85,90,86,85,84,88,NULL,NULL,NULL,83,91,79,85,89,91,85,82,85,89,NULL,NULL,NULL,NULL,84,79,86,83.4464,93,78.1,111,79.6,127,84.83333333,32,86.33333333,59,86.83333333,121
10,83,85,84,82,83,84,85,86,85,85,85,87,85,85,87,85,85,86,85,87,88,87,91,88,86,89,87,89,86,88,89,87,NULL,NULL,NULL,86,86,89,80,89,92,88,90,91,90,NULL,NULL,NULL,88,93,84,86,90,93,90,92,93,92,NULL,NULL,NULL,NULL,87,82,88,87.9286,9,83.65,8,85.55,8,87.66666667,11,90,10,91.66666667,11
11,79,90,82,82,80,90,NULL,80,NULL,NULL,83,78,82,82,91,82,82,80,90,NULL,80,NULL,NULL,83,82,81,82,91,82,84,91,90,NULL,NULL,NULL,NULL,87,82,82,92,91,90,84,91,90,NULL,NULL,NULL,NULL,83,82,81,92,91,90,82,91,94,NULL,NULL,NULL,NULL,83,78,82,86.8172,6,83.42857143,13,83.89473684,9,86.27272727,6,89.54545455,5,90.25,4
12,83,74,75,83,82,76,78,74,75,89,84,78,80,85,79,75,86,84,80,80,78,80,85,89,80,80,87,84,79,88,81,81,NULL,NULL,NULL,80,78,83,85,80,86,82,90,82,84,NULL,NULL,NULL,77,85,83,82,88,87,89,91,85,84,NULL,NULL,NULL,NULL,91,84,80,83.0357,116,78.4,99,81,70,83.33333333,83,84,141,87.33333333,101
13,85,92,89,81,92,86,77,87,81,NULL,85.67,78,86,87,94,91,83,98,88,79,89,86,NULL,88.33,80,89,88,88,85,83,93,88,NULL,NULL,NULL,NULL,88,88,87,90,90,86,85,95,83,NULL,NULL,NULL,NULL,90.5,88,92,90,90,92,90,95,88,NULL,NULL,NULL,NULL,88,81,85,89.0956,5,88.12,3,90.6,2,87.55172414,9,88.37931034,16,90.96428571,8
14,85,86,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,80,86,89,86,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,85,80,82,89,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,89,79,82,86,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,80,86,80,73,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,85,85,82.7297,2,83.875,2,86.25,1,81.625,1,80.75,2,80.2,1
15,85,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,95,95,90,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,90,90,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,90,85,95,90,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,85,96,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,90,85,89.1081,12,86.875,32,89.375,11,88.75,11,89.375,10,92.4,13
16,81,83,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,75,85,79,85,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,80,82,85,80,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,83,83,82,80,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,77,92,78,77,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,79,80,81.027,3,80,3,80.625,4,81.875,4,83.625,3,77.8,5
17,76,85,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,78,78,88,80,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,78,74,75,80,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90,80,79,75,80,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,78,79,89,85,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,90,84,83.9671,2,85.2,1,87.2,1,81,2,81,2,89.8,1
18,83,78,81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,80,96,80,83,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,80,86,82,81,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,90,80,89,83,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,85,82,88,86,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,82,NULL,85.4797,4,80.77777778,3,80.66666667,5,89.55555556,2,86.55555556,3,88.66666667,6
19,74,86,75,80,68,75,81,74,75,90,92,86,75,90,86,67,80,65,80,80,78,81,77,89,82,72,86,82,77,80,76,80,NULL,NULL,NULL,88,88,80,83,83,86,74,83,78,82,NULL,NULL,NULL,88,92,84,86,81,83,85,90,78,88,NULL,NULL,NULL,83,87,76,82,79.8968,66,76.61904762,48,77.18518519,67,79.88888889,96,81,66,84.18518519,89
20,84,82,79,81,78,80,81,NULL,NULL,76,81,87,80,84,87,81,81,78,80,81,NULL,NULL,81,93,80,84,84,87,81,84,82,82,NULL,NULL,NULL,87,87,86,88,80,90,83,88,82,87,NULL,NULL,NULL,76,81,80,84,80,90,83,88,82,87,NULL,NULL,NULL,87,87,86,80,82.8878,147,80.68421053,112,81.36363636,124,83,137,84.54545455,134,84.54545455,143
21,76,74,74,75,78,78,76,79,77,75,82,80,84,81,80,79,79,82,83,82,84,80,85,85,77,78,83,83,84,81,84,84,NULL,NULL,NULL,80,93,83,82,86,86,86,83,85,86,NULL,NULL,NULL,82,77,86,86,89,89,89,86,88,89,NULL,NULL,NULL,80,88,82,89,83.0556,69,75.44444444,45,80.44444444,55,83.16666667,61,85.33333333,88,88.33333333,88
22,80,78,78,81,80,79,NULL,NULL,NULL,NULL,82,90,80,82,75,75,75,75,75,NULL,NULL,NULL,NULL,70,90,95,82,85,75,85,81,88,NULL,NULL,NULL,NULL,82,88,89,87,85,87,88,84,90,NULL,NULL,NULL,NULL,70,90,83,87,90,87,88,84,90,NULL,NULL,NULL,NULL,77,84,89,82.625,72,79.57142857,76,76.47368421,66,81.625,66,86.9,63,87.36842105,71
23,77,80,75,78,77,78,79,78,80,90,80,85,92,78,84,75,79,75,79,78,83,79,90,75,86,90,79,80,81,78,82,75,NULL,NULL,NULL,78,85,85,86,82,87,82,82,83,80,NULL,NULL,NULL,80,82,80,80,85,87,90,86,90,83,NULL,NULL,NULL,80,74,89,86,81.2294,56,77.47368421,80,78.55555556,89,79.16666667,117,82.66666667,34,86.83333333,24
24,80,78,77,76,86,80,80,81,75,85,85,85,84,85,81,77,76,86,82,80,82,78,81,85,86,84,85,85,85,86,87,86,NULL,NULL,NULL,85,85,86,78,86,85,85,87,88,87,NULL,NULL,NULL,81,81,85,84,86,85,87,87,88,87,NULL,NULL,NULL,85,81,85,76,84.2202,53,79.11111111,68,81.11111111,55,85.66666667,25,86.33333333,45,86.72,103
25,78,77,75,81,81,78,78,75,80,91,88,86,90,79,75,79,81,84,77,86,77,82,80,90,93,87,84,82,90,85,85,87,NULL,NULL,NULL,83,91,85,90,86,81,92,87,85,90,NULL,NULL,NULL,80,88,82,90,88,82,96,90,89,90,NULL,NULL,NULL,85,88,81,84,84.3388,60,78.1,104,79.2,91,85.44444444,37,86.77777778,47,89.22222222,49
26,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,80.8,86,86,86,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,91,86.5,80,76.25,81.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.88,92,89,81.5,80.13,80.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.4,84,85,79.25,77.48,84.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,80,89.6,83.4205,26,86.35294118,21,86.35294118,23,80.42647059,20,81.99235294,27,80.968,30
27,79,83,79,80,77,73,84,81,87,77,80,94,80,75,84,82,83,77,80,85,80,87,84,83,83,78,80,84,78,82,80,82,NULL,NULL,NULL,79,86,90,79,77,84,82,82,80,82,NULL,NULL,NULL,73,79,82,73,81,83,80,81,80,84,NULL,NULL,NULL,80,83,94,84,80.7037,17,79.11111111,6,80.22222222,13,81,10,81.16666667,19,81.5,18
28,77,73,72,75,78,78,77,80,79,86,90,79,88,80,79,79,80,80,80,82,84,81,75,77,88,91,83,80,81,81,82,81,NULL,NULL,NULL,80,93,85,77,86,83,84,84,85,84,NULL,NULL,NULL,83,87,77,85,89,86,87,87,88,87,NULL,NULL,NULL,80,82,82,82,81.9815,137,75,67,79.55555556,96,81.33333333,175,84.33333333,132,87.33333333,131
29,80,80,80,83,83,78,82,81,78,78,87,80,86,78,87,83,81,86,79,84,80,88,75,81,80,80,88,86,87,87,87,91,NULL,NULL,NULL,81,95,85,78,86,89,80,88,86,91,NULL,NULL,NULL,80,87,75,84,87,88,87,93,89,83,NULL,NULL,NULL,79,86,87,86,85.4074,13,80.44444444,10,82.44444444,10,87.66666667,3,86.66666667,3,87.83333333,7
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,90,85,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.25,86.25,88,80.25,79,81,80,78,78.75,80,NULL,NULL,NULL,90,81,90,83,80,80,85,82,79,92,NULL,NULL,NULL,NULL,NULL,NULL,88,83.25,78,83.25,80,84.25,81,NULL,NULL,NULL,NULL,NULL,NULL,81.3106,125,79.54545455,135,81.63636364,105,82.75,212,81.52631579,92,81.45454545,121
31,86,81,80,78,80,83,79,NULL,NULL,89,84,83,82,82,82,84,78,80,83,79,NULL,NULL,85,84,80,84,82,82,84,82,81,83,NULL,NULL,NULL,90,94,83,85,83,83,80,85,93,86,NULL,NULL,NULL,85,87,80,84,83,83,80,85,93,86,NULL,NULL,NULL,90,87,84,82,83.1869,139,81.52631579,92,81.45454545,121,82.36363636,155,85.18181818,104,85.18181818,115
32,80,83,83.3,84,77.6,81,80,NULL,NULL,NULL,80,81,94,83,80,82,79,77,79,75,NULL,NULL,NULL,80,80,85,87,75,78,81,81,91,80,NULL,NULL,NULL,93,85,85,88,77.5,79,81,78,82,75,NULL,NULL,NULL,85,85,95,90,84,80,82,81,82,86,NULL,NULL,NULL,82,85,85,81.8185,18,81.42736842,8,80.26315789,25,82.81818182,16,81.22727273,18,83.09090909,30
33,85,83,83,83,85,87,83,85,80,87,89,92,90,89,85,83,82,85,88,87,89,87,84,91,87,79,84,87,82,83,88,89,NULL,NULL,NULL,88,90,87,91,87,85,87,89,88,90,NULL,NULL,NULL,85,89,80,83,91,87,89,85,91,90,NULL,NULL,NULL,89,87,85,80,86.4815,14,84.11111111,18,85.44444444,20,85.5,14,87.66666667,11,88.83333333,12
34,79,82,83,89,82,80,81,76,89,88,98,90,85,87,90,85,90,80,77,86,80,90,88,94,82,93,83,80,88,94,84,89,NULL,NULL,NULL,91,96,80,85,80,78,90,91,79,83,NULL,NULL,NULL,90,95,85,96,84,85,92,94,87,92,NULL,NULL,NULL,90,98,88,97,85.272,3,82.5,3,85.19047619,4,86.15384615,2,83.53846154,4,88.96153846,4
35,80,80,80,80,80,80,80,80,80,88,86,88,90,82,81,80,82,81,82,82,82,82,88,89,88,87,86,85,86,87,88,85,NULL,NULL,NULL,85,92,80,90,90,89,89,90,89,88,NULL,NULL,NULL,86,89,82,87,90,89,89,90,89,91,NULL,NULL,NULL,88,90,87,85,85.7094,41,80,59,81.3,48,86.12,23,89.12,31,89.66666667,29
36,81,81,85,76,78,83,78,75,81,85,83,88,87,82,81,88,84,83,84,81,78,85,84,83,81,83,75,78,83,78,82,76,NULL,NULL,NULL,83,81,79,89,76,81,84,85,78,78,NULL,NULL,NULL,85,82,79,86,81,86,80,84,80,81,NULL,NULL,NULL,NULL,83,84,84,81.1636,14,81.22222222,6,83.66666667,7,79.38461538,16,80.33333333,17,82,20
37,80,81,78,80,73,76,76,NULL,NULL,NULL,80,80,80,82,81,79,80,73,76,NULL,NULL,NULL,NULL,80,81,80,80,80,69,83,82,85,78,NULL,NULL,NULL,78,84,80,80,80,69,83,82,85,78,NULL,NULL,NULL,78,80,80,86,80,79,78,72,82,90,NULL,NULL,NULL,78,81,80,79.2632,126,78.15384615,117,77.69230769,110,79.81818182,89,79.83333333,94,80.25,136
38,75,70,70,72,71,70,71,85,76,81,72,88,70,76,72,73,72,72,73,76,85,77,78,73,72,78,78,78,83,80,80,82,NULL,NULL,NULL,78,87,74,78,78,79,85,90,81,82,NULL,NULL,NULL,85,82,90,73,83,85,89,88,90,89,NULL,NULL,NULL,NULL,80,89,NULL,79.992,22,71.35,100,73.15,94,80.32142857,21,82.78571429,17,87.65517241,9
39,85,80,84,79,75,75,82,NULL,NULL,NULL,83,84,86,87,77,80,79,78,75,83,NULL,NULL,NULL,80,81,83,82,83,77,76,76,77,NULL,NULL,NULL,NULL,81,85,82,84,86,75,78,76,81,NULL,NULL,NULL,NULL,79,84,82,89,78,81,81,80,78,NULL,NULL,NULL,NULL,90,85,80,79.7981,30,80.15789474,17,79.89473684,24,78.09090909,28,79.45454545,32,81.45454545,15
40,81,79,82,75,79,82,90,NULL,NULL,75,86,93,82,87,79,86,81,82,82,92,NULL,NULL,87,86,93,91,88,80,87,81,82,83,NULL,NULL,NULL,84,86,93,86,90,81,88,82,84,84,NULL,NULL,NULL,79,86,93,82,91,86,89,85,87,85,NULL,NULL,NULL,86,82,94,82,84.7707,157,79.72727273,203,83.18181818,171,83.81818182,197,85.18181818,180,87.05797101,122
41,77,77,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,87,87,77,82,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,87,87,82,82,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,77,82,82,82,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.25,80.75,84,89.25,79,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,82,82,82.0135,2,80.125,1,81.375,2,82,3,82.625,3,85.1,3
42,82,78,79,79,80,82,79,NULL,NULL,92,86,79,80,81,84,82,79,80,82,79,NULL,NULL,90,84,79,85,81,84,82,83,76,81,NULL,NULL,NULL,88,86,79,85,84,83,80,84,85,85,NULL,NULL,NULL,90,84,79,85,84,83,80,84,85,85,NULL,NULL,NULL,92,92,81,80,81.8972,184,80.15789474,128,81.09090909,127,80.90909091,206,83.54545455,184,83.54545455,189
43,82,83,82,83,82,82,82,81,83,92,81,89,87,83,83,84,84,83,82,82,83,84,89,87,83,88,88,87,87,88,87,87,NULL,NULL,NULL,82,89,86,83,89,88,89,91,90,89,NULL,NULL,NULL,84,86,91,82,92,90,91,92,90,92,NULL,NULL,NULL,89,82,82,90,87.1111,41,82.33333333,56,83.22222222,57,87.33333333,36,89.33333333,38,91.16666667,38
44,83,84,83,84,83,83,83,82,84,82,81,91,83,83,83,84,84,83,82,83,83,85,86,82,86,90,87,87,87,88,89,87,NULL,NULL,NULL,91,85,82,84,90,89,89,91,90,89,NULL,NULL,NULL,90,90,84,86,92,91,91,92,90,92,NULL,NULL,NULL,84,88,89,88,87.4259,30,83.33333333,35,83.22222222,57,87.5,21,89.66666667,9,91.33333333,26
45,79,83,79,80,77,78,NULL,NULL,NULL,NULL,85,80,78,80,84,80,78,77,80,NULL,NULL,NULL,NULL,84,80,81,78,80,80,80,78,82,NULL,NULL,NULL,NULL,80,80,78,78,85,80,80,80,83,NULL,NULL,NULL,NULL,82,79,85,80,86,80,80,81,84,NULL,NULL,NULL,NULL,85,80,75,80.1346,50,79.10526316,38,79.63157895,48,79.63636364,53,80.63636364,44,81.45454545,58
46,77,78,76,84,79,79,84,NULL,NULL,77,90,81,85,80,78,79,77,76,80,82,NULL,NULL,81,90,75,75,85,85,84,90,75,79,75,NULL,NULL,NULL,88,81,85,76,84,81,81,85,79,77,NULL,NULL,NULL,90,83,87,86,84,80,88,79,84,80,NULL,NULL,NULL,80,85,85,80.9519,51,78.63157895,51,78.47368421,82,82.81818182,25,80.72727273,63,83.45454545,35
47,78,77,77,77,82,78,80,76,NULL,NULL,86,84,79,80,84,86,77,82,78,80,76,NULL,NULL,77,84,85,80,84,86,79,79,79,81,NULL,NULL,NULL,86,84,84,87,85,86,79,79,79,81,NULL,NULL,NULL,77,80,85,87,85,86,82,81,81,80,NULL,NULL,NULL,86,80,84,80.7576,101,78.42857143,55,81,33,79.7,113,82.27272727,78,84.375,58
48,91,76,77,80,90,85,84,75,78,97,88,85,83,88,78,81,87,82,78,83,75,89,90,91,84,80,86,78,76,80,84,81,NULL,NULL,NULL,89,85,84,81,83,82,77,87,91,87,NULL,NULL,NULL,75,90,88,79,88,81,79,88,84,89,NULL,NULL,NULL,NULL,91,90,85,83.0741,35,82.55555556,24,82.33333333,36,80.83333333,38,84.5,34,84.83333333,58
49,85,85,75,76,73,88,75,NULL,NULL,NULL,75,84,78,84,83,77,76,75,86,76,NULL,NULL,NULL,82,78,78,82,86,84,85,75,76,75,NULL,NULL,NULL,89,87,85,81,80,77,87,80,76,80,NULL,NULL,NULL,80,77,85,83,85,78,82,83,80,NULL,NULL,NULL,NULL,89,80,86,80.4206,54,79.36363636,51,80.05263158,52,80.90909091,38,80.18181818,62,81.54545455,62
50,80,79,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,79,78,83,82,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,79,78,85,86,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,82,76,86,78,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,80,77,79,76,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,80,76,80.2973,9,78.875,29,79.875,19,82.5,8,82.125,7,76.8,22
51,75,83,75,67,75,83,75,75,NULL,NULL,90,80,82,75,75,83,67,75,83,75,75,NULL,NULL,75,83,75,88,88,82,76,76,88,NULL,82,NULL,NULL,84,81,82,80,88,84,80,79,85,NULL,80,NULL,NULL,83,75,75,80,86,84,77,79,83,NULL,82,NULL,NULL,93,76,91,79.8654,35,75.84210526,27,76.68421053,30,82.54545455,34,82.18181818,35,81.09090909,39
52,75,75,75,75,75,75,75,75,NULL,NULL,89,75,75,75,75,75,75,67,75,67,67,NULL,NULL,83,85,83,86,86,83,86,86,86,NULL,86,NULL,NULL,89,86,75,86,89,87,87,86,85,NULL,86,NULL,NULL,91,75,90,86,85,86,84,87,84,NULL,88,NULL,NULL,83,83,85,81.5962,30,75,37,73.73684211,51,85.45454545,19,86.45454545,24,85.36363636,30
53,80,78,81,79,79,79,81,NULL,NULL,84,88,82,86,82,79,82,79,79,79,81,NULL,NULL,84,83,82,83,82,79,82,86,80,81,NULL,NULL,NULL,83,88,81,81,84,80,79,86,88,86,NULL,NULL,NULL,83,92,82,83,84,80,79,86,88,86,NULL,NULL,NULL,84,83,81,81,82.0467,181,79.52631579,145,80.09090909,160,81.90909091,172,84.18181818,161,84.18181818,169
54,93,79,79,87,89,81,80,NULL,NULL,NULL,80,90,92,89,82,80,90,87,87,83,NULL,NULL,NULL,90,80,86,90,83,92,91,83,89,NULL,NULL,NULL,NULL,89,88,90,90,85,96,91,84,91,NULL,NULL,NULL,NULL,86,81,93,92,88,94,91,92,94,NULL,NULL,NULL,NULL,89,84,87,88.4712,12,85.10526316,10,85.89473684,26,88.45454545,5,89.90909091,14,92.18181818,20
55,70,65,68,73,70,65,80,68,67,80,75,90,86,70,70,75,75,75,73,80,75,71,65,88,81,84,79,79,82,71,76,71,NULL,NULL,NULL,80,75,81,79,78,80,82,80,80,76,NULL,NULL,NULL,70,75,90,77,83,85,88,79,85,81,NULL,NULL,NULL,83,82,81,78,76.6111,55,68.22222222,88,72.55555556,60,76.33333333,30,79.33333333,64,83.5,35
56,79,85,76,80,71,69,79,83,83,90,76,80,83,83,86,80,85,74,78,83,83,81,80,85,82,82,81,85,75,80,76,86,NULL,NULL,NULL,76,82,88,81,84,81,75,80,77,87,NULL,NULL,NULL,80,83,77,87,82,86,78,83,81,82,NULL,NULL,NULL,80,84,84,82,80.2377,58,77.14285714,43,81.28571429,21,80.11111111,103,80.2962963,88,81.96153846,69
57,73,75,85,75,75,74,73,79,77,86,82,80,83,77,80,86,78,77,78,78,82,79,78,86,85,83,82,82,81,80,84,82,NULL,NULL,NULL,78,90,73,76,80,84,82,82,85,80,NULL,NULL,NULL,NULL,85,80,86,85,88,90,87,87,86,NULL,NULL,NULL,NULL,86,75,80,81.3333,15,76.16666667,31,79.33333333,13,81.83333333,17,82.16666667,17,87.16666667,12
58,79,77,77,78,78,79,79,NULL,NULL,81,78,80,81,78,80,82,78,78,79,79,NULL,NULL,80,78,71,81,78,80,82,80,81,82,NULL,NULL,NULL,80,92,80,82,81,82,78,83,88,85,NULL,NULL,NULL,80,81,80,84,81,82,78,83,88,85,NULL,NULL,NULL,81,81,80,82,80.7757,226,78.05263158,180,79.09090909,192,80.54545455,229,82.90909091,206,82.90909091,210
59,85,82,80,86,79,83,NULL,85,79,81,89,95,84,88,75,83,87,78,85,NULL,86,80,76,94,85,80,89,84,82,84,80,86,NULL,88,NULL,NULL,98,94,85,90,86,85,95,85,87,NULL,91,NULL,NULL,88,83,75,92,86,87,91,95,89,NULL,90,NULL,NULL,95,85,84,85.8846,50,82.52631579,46,83.36842105,68,84.18181818,64,88.18181818,36,90.36363636,47
60,77,77,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,79.5,84,77,82,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.5,82,87,82,82,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,87,82,82,82,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,87,82,89.25,79.5,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,77,87,81.6216,4,78.875,4,81.375,2,81.375,4,82.625,3,85.2,2
61,81,78,75,78,74,81,75,NULL,NULL,NULL,82,80,85,85,80,77,76,78,75,76,NULL,NULL,NULL,82,77,85,80,77,78,83,80,77,76,NULL,NULL,NULL,81,85,78,83,78,78,78,80,75,78,NULL,NULL,NULL,82,78,75,85,80,78,84,85,80,NULL,NULL,NULL,NULL,85,84,88,79.2991,79,77.45454545,75,78.68421053,69,79.36363636,68,78.72727273,81,82.18181818,46
62,85,80,87,88,81,85,NULL,91,82,89,88,80,76,88,80,90,90,80,85,NULL,91,84,83,94,84,85,87,84,90,84,85,86,NULL,92,NULL,NULL,97,94,91,87,84,91,87,90,88,NULL,92,NULL,NULL,94,85,80,89,85,93,85,90,89,NULL,88,NULL,NULL,89,94,85,86.8942,31,84.73684211,24,86.15789474,27,86.18181818,25,88.18181818,36,88.81818182,77
63,78,80,75,75,76,80,77,74,75,76,86,80,83,80,81,76,77,80,85,78,76,77,83,84,84,86,81,83,83,83,83,86,NULL,NULL,NULL,78,78,81,94,85,85,85,84,83,88,NULL,NULL,NULL,81,80,88,85,88,89,89,90,88,91,NULL,NULL,NULL,NULL,81,82,83,83.4068,74,77.5,43,79.85,60,83.26923077,62,85.03846154,89,89.19230769,125
